web-scraper-order;Publikation (Autoren, Jahr, Titel, Journal/Konferenz)
1647018432-3996;1647018432-3996
1647018432-4297;"Back, Andrea:
	Videobasiertes E-Learning auf dem Siegeszug 2.0.
	Jubiläumskonferenz Livesession time4you.
	
	24 November 2009."
1647018432-4145;"Back, Andrea:
	Critical Success Factors (CSF).
    	In  
    	Mertens, Peter & Back, Andrea (ed.): 
    	Lexikon der Wirtschaftsinformatik. 
	Berlin :
	Springer,
	2001,
	S. 124-125."
1647018432-4083;"Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (ed.) 
    	: 
	Web 2.0 und Social Media in der Unternehmenspraxis : Grundlagen, Anwendungen und Methoden mit zahlreichen Fallstudien.
	3., vollständig überarbeitete Auflage.
	München :
	Oldenbourg,
	2012,
	
	- ISBN 978-3-486-59832-2."
1647018432-4215;"Raimann, Joerg; Enkel, Ellen; Seufert, Andreas; Back, Andrea & von Krogh, G.:
	Supporting Business Processes through Knowledge Management - A Technology-based Analysis.
	,
	2000,"
1647018432-4200;"Bursian, Olaf; Bendel, Oliver; Isler, A.; Martin, Gunnar; Leithner, Barbara; Keller, Miriam & Back, Andrea:
	Lernen mit elektronischen Medien: Projekt E-Learning der UBS AG, Zürich.
	Reihe Arbeitsberichte des Learning Center der Universität St. Gallen,
	2001,
	1/2001."
1647018432-4218;"Raimann, Joerg; Koehne, Marija; Seufert, Andreas; Back, Andrea & von Krogh, G.:
	Knowledge Networks - A Tools Perspective.
	,
	2000,"
1647018432-3993;"Back, Andrea
 	(1995)
	Groupware. Editoral.
	Informatik/Informatique,
	Vol. 2
	(6).
	2."
1647018432-4105;"Back, Andrea:
	Bloggen und Microblogging in Lehrveranstaltungen : Variationen aus sieben Jahren eigener Lehrpraxis.
    	In  
    	Reinmann, Gabi; Ebner, Martin & Schön, Sandra (ed.): 
    	Hochschuldidaktik im Zeichen von Heterogenität und Vielfalt : Doppelfestschrift für Peter Baumgartner und Rolf Schulmeister. 
	Norderstedt :
	Books on Demand,
	2013,
	S. 151-164."
1647018432-4300;"Back, Andrea:
	Was kann die Hochschule aus der Unternehmenspraxis lernen? (per Videokonferenz).
	76. BundesDekaneKonferenz.
	Jena,
	23 October 2009."
1647018432-4034;"Silic, Mario & Back, Andrea:
	Information Security and Open Source Dual Use Security Software: Trust Paradox.
	2013.
	- 9th IFIP WG 2.13 International Conference, OSS 2013.
	- Koper-Capodistria, Slovenia."
1647018432-4104;"Back, Andrea; Lauber, Jürgen & Sütterlin, Sarah:
	Wissensarbeit nach Lean-Prinzipien bei Saia-Burgess Controls.
    	In  
    	Richter, Alexander (ed.): 
    	Vernetzte Organisation. 
	München :
	De Gruyter,
	2014,
	S. 176-183."
1647018432-4084;"Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (ed.) 
    	: 
	Web 2.0 in der Unternehmenspraxis : Grundlagen, Fallstudien und Trends zum Einsatz von Social Software (2., aktualisierte Auflage).
	
	München :
	Oldenbourg,
	2009,
	
	- ISBN 978-3-486-59121-7."
