titel;author;konferenz;veranstaltungstitel;zeitschrift;datum;Tweet Datum;Tweet
Workplace Learning: mit E-Learning im Arbeitsprozess lernen.;Back, Andrea;null;null;SKO-Leader;01. Jan 03;2021-10-10 12:45:24+00:00;Check out my latest article: Eine Digitalisierungsstrategie entwickeln als KMU und mit Agile Mindset… https://t.co/7TBzRgQWqe
The Emergence and Impact of Web 2.0.;Back, Andrea;null;Focus on social media;null;03. Mär 09;2021-09-24 22:21:57+00:00;"Reisen bildet: Es gibt nicht nur ""die"" Freiheitsstatue; (auch Google Bilder liefert nur die bekannten Bilder). Auf… https://t.co/VL97pnPxY8"
Software Tools for E-Collaboration: Evaluating Web-Conferencing Tools.;Mayrhofer, David;null;null;null;17. Mai 05;2021-09-24 22:01:52+00:00;"Neue Sprache lernen stand weit zukünftig in meinem MySevenYearPlan (https://t.co/CYLHHCPFFe). ""Due to recent major… https://t.co/PHqmqDVVrk"
Group Wisdom Support Systems: Aggregating the Insights of many trough Information Technology.;Wagner, Christian & Back, Andrea;International Association for Computer Information Systems;null;Issues in Information Systems (IIS);01. Okt 08;2021-09-21 11:01:41+00:00;"Beeindruckend-hörenswert-inspirierend, wen @time4youGmbH alles vor Linse&amp;Mikrofon holt, zuletzt J. Vidarte, General… https://t.co/nbePqvH2DF"
Perspectives for our partners. Innovation and the network option.;Rumyantseva, Maria;null;null;null;2002;2021-09-20 17:58:06+00:00;"Ist ""Remote first"" wirklich der Königsweg für die Arbeitsortreglungen? Studienergebnisse wie diese erwarte ich noch… https://t.co/VD9C4Jc2Yi"
Lernen im Cyberspace: Die Zukunft der Wissensentwicklung und Bildungsdienstleistung?;Back, Andrea;THEXIS;null;null;2000;2021-09-17 08:05:07+00:00;"Wollen Sie hauptsächlich zu Hause (weiter) arbeiten? Das hängt ja auch von der Bürogestaltung ab. Meine Kolumne: ""A… https://t.co/2caiCqIyt5"
Weblogs und Wikis in der Hochschullehre: ein Erfahrungsbericht.;Back, Andrea;null;Gastvortrag an der Pädagogischen Hochschule;null;13 July 2006;2021-09-17 07:46:07+00:00;"Sie möchten Ihren Schüler/inn/en Kommunikation&amp;Präsentation mit Storytelling und digitalen Medien ermöglichen? Hier… https://t.co/XJHeBBorL8"
Mobile Enterprise - bereit für den mobilen Wandel?;Egeli, Martin & Back, Andrea;Fractal-Verl.;null;IT business;28. Apr 15;2021-09-08 18:28:11+00:00;Milano Design Week hat auch abseits der Showrooms was zu entdecken, wie hier Verkehrsschilder im Brera Viertel. https://t.co/8xYuMctAXc
Enterprise 2.0 - Digitale Transformation durch soziale Technologien.;Back, Andrea;Springer Fachmedien Wiesbaden;null;null;2016;2021-09-06 08:25:20+00:00;addendum habe ich vermisst. Nun seit Sept. ein neues vielversprechendes Medienprodukt: Fakten - Vestehen - Handeln,… https://t.co/hkpfMPAnjZ
Training for Knowledge Networks: Documentation.;Vassiliadis, Stefanos;null;null;null;01. Okt 00;2021-05-19 06:28:09+00:00;Heute + morgen je ab 15 Uhr pitchen die insgesamt 15 Award-Nominees für die Smart-IoT- und Mobile Business Awards.… https://t.co/NWgkvxnxNw
Employee Acceptance and Use of Unified Communications and Collaboration in a Cross-Cultural Environment.;Silic, Mario;null;null;International Journal of e-Collaboration;2014;2021-03-26 08:47:21+00:00;Mit Bücherregal als Video-Hintergrund schneidet man bei Persönlichkeitsmerkmals-Einschätzungen besser ab - bei eine… https://t.co/afOVs7yRED
Adoption of Online Videos in Organizations : A Multi-Case Comparison.;Ruf, Christian & Back, Andrea;Moderna Organizacija;"26th Bled eConference ""eInnovations: challenges and impacts for individuals, organizations and society""";null;09. Jun 13;2021-03-25 11:53:13+00:00;Welche Jugendliche hätten nicht gerne ein selbst gestaltetes LED-TShirt? Das @smartfeld SmartTShirt-Projekt ist nun… https://t.co/jrs8F4u88G
Internet und World Wide Web : Zugangs- und Anwendungsmöglichkeiten für den Steuerberater.;Back, Andrea & Wagner, J.;null;null;DSWR;01. Jan 96;2021-03-24 10:07:05+00:00;War noch ein wenig unschlüssig, ob Golf wirklich ein Sport für mich ist, den ich lernen will. Die 2 Bilder im FJ-21… https://t.co/ch97sJHaA3
How an Incumbent Telecoms Operator Became an IoT Ecosystem Orchestrator.;Marheine, Christian;null;null;MIS Quarterly Executive;2021;2021-03-12 16:56:13+00:00;Mein Sprachassistent Google Home versteht mich in jüngster Zeit schlechter als auch schon - können Algorithem an Zu… https://t.co/Urq1nOn0n2
Unternehmensinternes Multiblog der Namics AG.;Hain, Stefanie & Schopp, Bernd;Oldenbourg;null;null;2008;2021-03-07 19:32:23+00:00;Was kommt nach Notebooks, Tablets und Smartphones? Die 3-te Generation des Personal Computing - mit Mixed Reality.… https://t.co/sBgjVhbwSC
Employee acceptance and use of unified communications and collaboration in a cross-cultural environment.;Silic, Mario;null;null;null;2017;2021-03-04 06:54:25+00:00;Wüstensand aus Afrika auf Schnee in den Schweizer Alpen. Die Natur ist auf Vereinigung +Überwinden von Grenzen aus.… https://t.co/T3aJVshJsT
Broadening Participation in Knowledge Management in Enterprise 2.0.;Back, Andrea & Koch, Michael;De Gruyter;null;Information Technology : it;01. Mai 11;2021-02-26 16:22:45+00:00;Stolz auf Ihre Mobile Solution oder IoT-Solution? Dann wird es Zeit für eine Einreichung zu den beiden Awards - Fri… https://t.co/iUGYTjMe89
Knowledge Network - Survey Findings (internal Paper).;Wicki, Yvonne;null;null;null;01. Okt 01;2021-02-26 16:18:49+00:00;Stimme zu! Dass jede/r Content beitragen kann, darf nicht Assoziationen zu Littering oder Messie-tum wecken. Meine… https://t.co/q88ePwp5PT
Einführung.;Back, Andrea;null;Knowledge Worker Productivity: Von Investitionen in Lernen und Wissen zu messbaren Geschäftsresultaten, Seminar Learning Center;null;18. Nov 04;2021-02-19 17:00:03+00:00;Mal wieder Gänsehaut gekriegt, gestern #PerseveranceMars  die 7 minutes of terror mitverfolgt (Hintergrundinfos hie… https://t.co/jSoKTi4uzw
Stille Revolution im Workplace Learning.;Back, Andrea;null;null;"HR Today Special ""Personal Swiss 2011""";01. Apr 11;2021-02-19 16:55:09+00:00;@sms2sms Oh, habe ich jemanden beleidigt? Ja, gerne. Dann verstehe ich, was du meinst. (Die Kolumnen schreibe ich j… https://t.co/45yjo2Mfvf
Practical Implications On How Established Companies Innovate With Startups: Tools and Guidelines for Innovation Managers.;Peter, Lukas;null;null;null;2019;2021-02-19 16:55:09+00:00;@sms2sms Oh, habe ich jemanden beleidigt? Ja, gerne. Dann verstehe ich, was du meinst. (Die Kolumnen schreibe ich j… https://t.co/45yjo2Mfvf
Erfolgreiche E-Learning-Anwendungsfelder - jetzt und in der Zukunft.;Back, Andrea;null;LERNET-Konferenz;null;02. Dez 03;2021-01-08 17:01:46+00:00;Vorerst auf Eis gelegt: Twitter hat bei mir als Arbeitsmittel an Bedeutung verloren, ist mir aufgefallen. Es ist ka… https://t.co/Gc9RDcScAa
Agile Innovation for Next Generation Mobile Business.;Guggisberg, Vanessa & Back, Andrea;Institut für Wirtschaftsinformatik;null;null;Dez 17;2020-12-19 12:05:42+00:00;@LAZuoz Quelle: S. 106f. Engadin Magazin Nr 3. 2020 (Text Karl Grauhans)
Measuring.;Back, Andrea;null;null;Thexis-Sonderheft Management Szenarien 2005;01. Jan 98;2020-12-19 12:03:08+00:00;Was sagt einem das? Im Lageplan Lyceum Zuoz heissen Schülerinnen: Mädchen und ältere Mädchen (auch Volljährige?). S… https://t.co/h9BikmYFPE
Integrating the Smartphone : Applying the U-Constructs Approach on the Case of Mobile University Services.;Sammer, Thomas;null;null;null;03. Sep 11;2020-12-16 20:53:25+00:00;"Mal wieder ein für mich neues Wort in Schweizerdeutsch gelernt: ""Sterneliwerfer"". Was das ist? Na - eine Wunderkerz… https://t.co/5rhs6ajmJ7"
Web-Video zur Wissenskommunikation.;Back, Andrea;null;OpenSpace an der Swiss eLearning Conference;null;13. Apr 10;2020-12-16 13:25:48+00:00;"Schon 1925 erfunden - Multifunktionsmaske fürs Büro. Hogo Gernsback's ""The Isolator"". Dazu meine Dez.-Kolumne:… https://t.co/1g8JP6nGEc"
2D-Codes - Technologie und Anwendungsbereiche.;Knuchel, Thomas;null;null;Wirtschaftsinformatik;01. Feb 11;2020-12-16 12:00:40+00:00;Nächstes Jahr an Ihrem Zukunftstag (oder Digitaltag): Schüler/innen mit Digital Storytelling über das Erlebte erzäh… https://t.co/Y19PxOgdts
Social Media im Unternehmenskontext und in der Arbeit.;Back, Andrea;null;EMBE-Modul 9;null;23. Mai 11;2020-12-13 21:39:16+00:00;@WolfieChristl @RobertHarm This is not LEARNING Analytics.
Do LMS have a Future? A conversation between criticism and defence of today's LMS.;Back, Andrea;null;Eduhub days 2011;null;23. Mär 11;2020-12-13 21:22:00+00:00;@sms2sms Ja, und auch das erste viable  (Zwischen)Ergebnis wäre etwas, das viele herbei sehnen. Ich behalte es im S… https://t.co/7DtQPKRr89
The Influence of Human Networks and Human Value Systems on Knowledge Sharing/Transfer Projects.;Koehne, Marija;null;null;null;01. Jan 99;2020-12-12 20:33:13+00:00;Sogenannte Hybrid-Formate sind uns aus der Lehre inzwischen geläufig. Auch bei Weihnachtskarten geht so ein Mix. Ka… https://t.co/fa38dxuvO6
Deterrent Effects of Warnings on User’s Behavior in Preventing Malicious Software use;Silic, Mario & Back, Andrea;null;null;Proceedings of the 50th Annual Hawaii International Conference on System Sciences (HICSS);06. Jan 17;2020-12-06 12:11:42+00:00;"Interessante Aussage von Beraterin Susanne Merg (merg-and-more) über Zusammenarbeit: (Addierung) ""es ist ja schon s… https://t.co/3vJOFkunle"
Strategic Deployment of Networks for Knowledge Management: When to choose the Network Option.;Vassiliadis, Stefanos;null;null;null;17. Mär 00;2020-12-03 20:38:27+00:00;"@lress ... und dazu Schmuck (aus der Versenkung holen), der fürs Büro ""too much"" wäre, dazu ordentlich Parfüm: tun das Übrige"
From Data to Dollar – Using the Wisdom of an Online Tipster Community to Improve Sports Betting Returns.;Grüttner, Arne;null;null;null;2020;2020-11-23 11:32:28+00:00;In Zeiten von Einschränkungen und gestrichenen Plänen kann man auch das Multiptionsproblem haben. Dazu meine Nov-Ko… https://t.co/ygZ2JItgFq
Taxonomy of technological risks of open source software in the enterprise adoption context.;Silic, Mario;null;null;Information & Computer Security;15. Okt 15;2020-11-11 10:26:20+00:00;Patrick Merke spricht mit #LearningInsights über die IFIDZ Metastudie zu Kompetenzen, die Führungskräfte im Digital… https://t.co/kkHmD5BUla
Virtual Reality.;Back, Andrea;Springer;null;null;2001;2020-11-08 19:44:09+00:00;@SteveWheeler Donut in the sky with ...
Email: from hero to zero - the beginning of the end?;Silic, Mario;null;null;Journal of Information Technology Teaching Cases;01. Nov 15;2020-11-07 19:59:24+00:00;Mal weg von allem. Bäume wie in Sync, trotz mehr als Mindestabstand . (Hochmoor Rothenthurm). https://t.co/u1uj69iOfb
Strategy Map und Scorecard für E-Learning Initiativen.;Back, Andrea;null;Effektivität und ROI in der betrieblichen Weiterbildung;null;20. Sep 07;2020-11-07 19:41:34+00:00;@barbarajosef Von so souveränem appellativen Humor brauchen wir mehr, und regelmässig, topp! 🎇😁
Information security: Critical review and future directions for research.;Silic, Mario & Back, Andrea;Emerald Group Publ.;null;Information Management & Computer Security;13. Jun 14;2020-10-20 09:50:06+00:00;"Mein liebstes, und weitere, Retusche-Tools - zu finden in meiner Oktober-Kolumne: ""Digitaler Maulkorb""… https://t.co/vEPYtBZ6cF"
Knowledge Management in Challenging Settings - A Case of Military Aircraft.;Mayrhofer, David;null;null;J.UKM: Universal Journal of Knowledge Management;1 July 2005;2020-10-16 20:32:45+00:00;Ein Digitaler Maulkorb für hate speech - tolle Sache: https://t.co/0k35Le2BDq. Hier zum Ausprobieren: https://t.co/C4z0Z75neT
Ich habe fertig - aus der Sicht der Mertens-Zauberlehrlinge (Laudatio, gehalten an der WISO in Nürnberg am 10. Januar 2006, Emeritierung Prof. Dr. Peter Mertens).;Back, Andrea;Institut für Wirtschaftsinformatik;null;null;01. Jan 06;2020-10-03 09:01:47+00:00;@sms2sms @NSAGov Hoi Stefan, Danke: Meine Entscheidung dann: Dein Feedback unter 4-6 Augen, nicht internetöffentlic… https://t.co/X3EyL7EBKw
Kooperatives Lernen im Internet.;Back, Andrea;null;Leitung Weiterbildungsseminar HSG;null;01. Sep 99;2020-10-03 09:01:47+00:00;@sms2sms @NSAGov Hoi Stefan, Danke: Meine Entscheidung dann: Dein Feedback unter 4-6 Augen, nicht internetöffentlic… https://t.co/X3EyL7EBKw
Aspekte zur Implementierung und Nutzung einer Prozesskostenrechnung. Rubrik Meinungsspiegel.;Back, Andrea;null;null;Kostenrechnungspraxis-Sonderheft;01. Jan 94;2020-10-02 15:38:28+00:00;@sms2sms Danke Stefan. Ich versuche das mit der Masterandin zu klären/organisieren. Di 13. Okt. ginge mir - welche… https://t.co/5vAnknc97t
Corporate eLearning and Knowledge Management: Will convergence bridge the gaps?;Back, Andrea;null;LoD Meeting;null;16. Feb 04;2020-10-01 15:35:02+00:00;"@sms2sms - Mit unserem Projekt ""Mit Digital (Video)Storytelling, z.B. über Berufe, erzählen"" sind wir 1 Schritt wei… https://t.co/W4PJiPgQ0w"
Open (e-)Cooperation - Ein Erfahrungsbericht zu Formen der Zusammenarbeit von Hochschullehre und Unternehmenspraxis.;Back, Andrea;Freie Universität Berlin;GML2 2010;null;11. Mär 10;2020-09-25 14:13:18+00:00;100.000 Menschen wissen alle etwas - und können helfen (Min 5:30). #LearningInsights DEKRA Media im Interview mit B… https://t.co/0qM2h42GIY
Lexikon der Wirtschaftsinformatik.;;Springer;null;null;2001;2020-09-24 15:19:04+00:00;OHA! Whats happening? Sentiment of news about Trump and Biden shows a surprise. Newsletter of Berlin FinTec… https://t.co/o5LyiFs68i
E-Learning: Ein Wörterbuch.;Back, Andrea;null;null;null;2002;2020-09-24 14:20:01+00:00;@barbarajosef Da kann ich gerade mindestens die Hälfte davon gebrauchen, d.h. bin motiviert es nicht nur zu lesen, sondern auch zu tun
Social Media in Universities.;Back, Andrea;null;24th Bled eConference;null;14. Jun 11;2020-09-17 11:17:03+00:00;Was vom Dozenten-Ich ins (Video)Bild setzen? - wenn man nicht mehr nur am Schreibtisch sitzt. Gedanken dazu in mein… https://t.co/rJNXqylkTe
Executive Information Systems.;Back, Andrea;null;null;null;1997;2020-09-17 10:43:10+00:00;Projektteam des Mobile Business 2020 Award Winners https://t.co/ktvWTXeUnI, Steffen Müller, zusammen mit Produkttea… https://t.co/gO5zJLqoVJ
Web 2.0 und Social Media im Unternehmenskontext: Einführung mit Erklärungen und Beispielen für Einsteiger.;Back, Andrea;null;Focus on social media;null;03. Mär 09;2020-08-19 08:27:56+00:00;Agile Transformation ERNST-haft angehen: Am besten bei sich selbst mit eigenen Projektpraktiken beginnen. (M)Ein On… https://t.co/iOSKf3Gp8H
Differences in ERP Implementations in India & Western Europe.;Talwar, Manish & Back, Andrea;null;AMCIS;null;09. Aug 09;2020-08-10 08:38:21+00:00;"Gedichte verstehen fällt oft schwer - dieses finde ich poetisch + glasklar: ""Beitrag zur Statistik"" von Wislawa Szy… https://t.co/cw96Q0wBPP"
e-Welt: Wissensmanagement.;Back, Andrea;null;SKU Fokus Seminare: Elemente der ganzheitlichen Unternehmensführung;null;03. Okt 01;2020-08-07 13:03:56+00:00;"Angstbefreiende Sprüche, hier von J. Mariss, tun nicht nur zum Geburi gut: ""Der Tag strahlt in den schönsten Farben… https://t.co/qxmOBR0bYX"
Employing Consumer IT in Operations: Will iPads Save Money, Increase Efficiency, and Raise User Satisfaction?;Sammer, Thomas;null;null;null;2014;2020-07-03 11:15:43+00:00;"Bildungswesen D wird von Gründern als Standortkriterium top-negativ bewertet. ""Wirtschaftliche Zusammenhänge werden… https://t.co/JdMhJA07Y5"
State-of-the-Art on Maturity Models for Collaboration.;Hain, Stefanie & Back, Andrea;Institute of Information Management, Universtiy of St. Gallen;null;null;01. Okt 09;2020-07-02 14:49:22+00:00;Wie das Technologieunternehmen @PhoenixContactV @PhoenixContactD Mitarbeitende in 4 Stufen auf die Digitale Transfo… https://t.co/hjxQ1IbJjB
Mobile Business.;Back, Andrea & Ruf, Christian;Springer Fachmedien Wiesbaden;null;null;2016;2020-06-24 12:23:26+00:00;Würde allein wegen dieser Badi: sehenswerte Architektur + Bergpanorama +Wasserqualität, wieder nach Adelboden komme… https://t.co/S3crQPRqgm
Outlook: Beyond organizational boundaries - Knowledge Networks for Growth.;Enkel, Ellen;Palgrave;null;null;2006;2020-06-22 19:14:14+00:00;Auf Rosenlaui + von Griesalp PostAuto gefahren. Tief beeindruckt, ja berührt @PostAuto. Beide Fahrer in Bestlaune u… https://t.co/RHwdo93Ytz
Beiträge des BSC-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen.;Back, Andrea;null;"E-Learning Workshop ""Einsatzkonzepte und Geschäftsmodell""";null;27. Sep 04;2020-06-22 19:03:08+00:00;Kaum zu glauben, so lange schon und immer noch. Da war ich ja kein Follower damals, jedenfalls nicht beim Account a… https://t.co/zCt9cFwBlW
A Reference Model for E-Collaboration within the Dispersed Sales Force Training Process in Multinational Companies.;Heidecke, Florian & Back, Andrea;Information Science Reference;null;null;2009;2020-06-17 06:59:01+00:00;Strategie-Instrument Backcasting in Zeiten grosser Unsicherheit. In meiner Kolumne: RE-gnose statt PRO-gnose - wenn… https://t.co/5T3jGycbA9
