Name,Strasse,Strasse_no_space,PlZ,Ort,Tel,E-Mail,Webseite
A. Keller Glaserei AG,Erlenstrasse 34,Erlenstrasse34,2555,Brügg BE,032 373 15 66,info@glas-keller.ch,http://www.glas-keller.ch
elektro bilingue gmbh,Bielstrasse 75,Bielstrasse75,2555,Brügg BE,032 361 22 22,info@elektro-bilingue.ch,http://www.elektro-bilingue.ch
Muay Thai Shadow Boxing Gym,Industriestrasse 37a,Industriestrasse37a,2555,Brügg BE,079 208 94 07,Info@muaythai-shadowboxing.ch,http://www.mtsb.ch
Seeland Glaserei GmbH,Erlenstrasse 34,Erlenstrasse34,2555,Brügg BE,032 322 65 65,info@seeland-glas.ch,http://www.seeland-glas.ch
ST. EGGLI Spenglerei GmbH,Wasserstrasse 1,Wasserstrasse1,2555,Brügg BE,032 373 22 23,info@eggligmbh.ch,http://www.eggligmbh.ch
Ariatec Sàrl 24h/24,Wasserstrasse 1A,Wasserstrasse1A,2555,Brügg BE,032 341 02 02,info@ariatec.ch,http://www.ariatec.ch
Glaus & Kappeler AG,Wasserstrasse 5,Wasserstrasse5,2555,Brügg BE,032 374 77 77,info@g-k.ch,http://www.g-k.ch
JAG Jakob AG Prozesstechnik,Industriestrasse 20,Industriestrasse20,2555,Brügg BE,032 374 30 30,jagpt@jag.ch,http://www.jag.ch
mss-sport GmbH,Neubrückstrasse 13,Neubrückstrasse13,2555,Brügg BE,032 559 83 81,mss@mss-sport.ch,http://www.mss-sport.ch
Physiotherapie Brügg Gmbh,Bärletweg 8,Bärletweg8,2555,Brügg BE,032 373 55 67,info@physiotherapie-bruegg.ch,http://www.physiotherapie-bruegg.ch/68/home
Schori Malerei AG,Bielstrasse 75,Bielstrasse75,2555,Brügg BE,032 373 13 78,info@schori-malerei.ch,http://www.schori-malerei.ch
Schubi's Zügelbox GmbH,Industriestrasse 37A,Industriestrasse37A,2555,Brügg BE,076 490 95 64,axel@zuegel.ch,https://zuegel.ch
Werk-Stadt GmbH,Portstrasse 37,Portstrasse37,2555,Brügg BE,032 377 33 79,info@werk-stadt.ch,http://www.werk-stadt.ch
Stebatec AG,Mattenstrasse 6A,Mattenstrasse6A,2555,Brügg BE,032 321 75 55,info@stebatec.ch,http://www.stebatec.ch
Coiffure Diamond Hair,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,* 032 373 27 60,,http://www.coiffure-diamondhair.ch
Eschmann M. Sicherheits- + Verschlusstechnik AG,Erlenstrasse 27,Erlenstrasse27,2555,Brügg BE,032 365 69 67,,http://www.schluessel-eschmann.ch
Flexpo AG,Mittelstrasse 2,Mittelstrasse2,2555,Brügg BE,* 032 325 19 60,info.bruegg@flexpo.ch,http://www.flexpo.ch
