Gde-Nr.;PLZ;Gemeinde
2703;4125;Riehen
615;3532;Mirchel
692;2743;Eschert
884;3125;Toffen
6808;2882;Clos du Doubs
390;2554;Meinisberg
726;2515;Plateau de Diesse
976;3376;Graben
983;4538;Oberbipp
408;3429;Hellsau
339;4938;Rohrbachgraben
3006;9107;Urnäsch
5118;6648;Minusio
5399;6632;Verzasca
5120;6600;Muralto
4511;8588;Zihlschlacht-Sitterdorf
303;3257;Grossaffoltern
724;2518;Nods
6716;2806;Mettembert
575;3707;Därligen
497;2576;Lüscherz
6809;2906;Haute-Ajoie
696;2732;Loveresse
356;3073;Muri bei Bern
609;3510;Häutligen
6771;2942;Alle
6792;2908;Grandfontaine
956;3417;Rüegsau
352;3065;Bolligen
872;3116;Kirchdorf (BE)
842;3782;Lauenen
690;2738;Court
663;3202;Frauenkappelen
751;2575;Täuffelen
431;2606;Corgémont
6704;2843;Châtillon (JU)
6781;2932;Coeuve
3790;7513;Silvaplana
3955;7206;Landquart
6744;2345;La Chaux-des-Breuleux
6754;2340;Le Noirmont
2502;4634;Wisen (SO)
5587;1052;Le Mont-sur-Lausanne
1630;8752;Glarus Nord
1220;6484;Wassen
1217;6452;Sisikon
1201;6460;Altdorf (UR)
977;3372;Heimenhausen
952;3465;Dürrenroth
975;4539;Farnern
972;3376;Berken
987;4539;Rumisberg
341;4911;Schwarzhäusern
993;3374;Wangenried
2011;1482;Cugy (FR)
2258;3284;Fräschels
2174;1754;Avry
2149;1634;La Roche
2262;1792;Gurmels
2124;1636;Broc
2147;1649;Pont-la-Ville
2321;1616;Attalens
2278;3214;Ulmiz
6452;2088;Cressier (NE)
2551;4514;Lommiswil
2555;4522;Rüttenen
5745;1446;Baulmes
5881;1807;Blonay
5474;1308;La Chaux (Cossonay)
5478;1116;Cottens (VD)
5688;1510;Syens
5729;1295;Tannay
5663;1514;Bussy-sur-Moudon
5788;1078;Essertes
5495;1305;Penthalaz
5692;1509;Vucherens
5483;1313;Ferreyres
5561;1422;Grandson
5731;1261;Le Vaud
5650;1126;Vaux-sur-Morges
5559;1429;Giez
5077;6742;Pollegio
5732;1267;Vich
5250;6830;Chiasso
4741;9506;Lommis
3032;9410;Heiden
3808;6547;Rossa
1371;6417;Sattel
1372;6423;Schwyz
4275;5054;Kirchleerau
561;3715;Adelboden
5208;6945;Origlio
383;3294;Büren an der Aare
2887;4432;Lampenberg
2834;4417;Ziefen
2822;4302;Augst
3251;9450;Altstätten
3661;7408;Cazis
6404;2015;Boudry
2614;4227;Büsserach
2782;4225;Brislach
2889;4426;Lauwil
2473;4143;Dornach
2771;4104;Oberwil (BL)
412;3422;Kirchberg (BE)
312;3035;Seedorf (BE)
394;3251;Wengi
3203;9000;St. Gallen
413;3425;Koppigen
4941;8560;Märstetten
1030;6284;Hitzkirch
1051;6043;Adligenswil
1089;6212;Knutwil
1052;6033;Buchrain
946;3618;Wachseldorn
305;3273;Kappelen
738;2565;Jens
948;3636;Forst-Längenbühl
355;3095;Köniz
617;3504;Niederhünigen
2784;4243;Dittingen
694;2745;Grandval
6037;1927;Val de Bagnes
3962;7220;Schiers
2491;4633;Hauenstein-Ifenthal
6141;1907;Saxon
159;8707;Uetikon am See
156;8706;Meilen
4122;5213;Villnachern
4095;5200;Brugg
4100;5212;Hausen (AG)
310;3255;Rapperswil (BE)
586;3816;Lütschental
4096;5078;Effingen
4323;5330;Bad Zurzach
4140;5727;Oberkulm
4202;5616;Meisterschwanden
959;3464;Walterswil (BE)
5001;6517;Arbedo-Castione
540;3303;Jegenstorf
565;3718;Kandersteg
5456;1588;Cudrefin
2122;1643;Pont-en-Ogoz
2194;1724;Ferpicloz
2295;3178;Bösingen
2067;1689;Le Châtelard
2055;1474;Cheyres-Châbles
2323;1615;Bossonnens
6461;2074;La Tène
2043;1541;Sévaz
1331;6402;Küssnacht (SZ)
331;4932;Lotzwil
1343;8858;Innerthal
2519;4563;Gerlafingen
2143;1638;Morlon
5503;1302;Vufflens-la-Ville
5908;1464;Chêne-Pâquier
5675;1522;Lucens
5407;1854;Leysin
6156;1872;Troistorrents
5671;1682;Dompierre (VD)
5473;1034;Boussens
5863;1184;Vinzel
5513;1042;Bioley-Orjulaz
5631;1135;Denens
5281;6710;Biasca
5079;6775;Quinto
5113;6595;Locarno
2529;4566;Oekingen
3293;7325;Mels
306;3250;Lyss
2461;3253;Schnottwil
2893;4418;Reigoldswil
1322;8806;Freienbach
6630;1211;Meyrin
6627;1287;Laconnex
2601;4500;Solothurn
1373;6422;Steinen
1365;6424;Lauerz
4002;5023;Biberstein
2574;5012;Eppenberg-Wöschnau
4273;4814;Bottenwil
5148;6930;Bedano
5269;6835;Breggia
5227;6807;Torricella-Taverne
2867;4443;Wittinsburg
1346;8854;Schübelbach
3103;9058;Rüte
2767;4103;Bottmingen
4846;8558;Raperswilen
3407;9240;Oberuzwil
2787;4242;Laufen
5764;1337;Vallorbe
1139;4915;Pfaffnau
1104;6234;Triengen
494;3238;Gals
935;3616;Oberlangenegg
577;3814;Gsteigwiler
770;3631;Stocken-Höfen
353;3047;Bremgarten bei Bern
889;3128;Thurnen
6785;2905;Courtedoux
422;3421;Rüti bei Lyssach
620;3531;Oberthal
1062;6102;Malters
3987;7166;Trun
3618;7113;Lumnezia
5226;6950;Capriasca
437;2723;Mont-Tramelan
4816;8507;Homburg
2582;4613;Rickenbach (SO)
2497;4653;Obergösgen
552;3427;Utzenstorf
554;3428;Wiler bei Utzenstorf
3822;6565;Mesocco
3423;9525;Niederhelfenschwil
1218;6464;Spiringen
4137;5733;Leimbach (AG)
4208;5707;Seengen
4320;5306;Tegerfelden
4032;5506;Mägenwil
322;4944;Auswil
325;4917;Busswil bei Melchnau
2463;4588;Unterramsern
161;8125;Zollikon
6061;3994;Lax
2276;3216;Ried bei Kerzers
2072;1673;Ecublens (FR)
5816;1562;Corcelles-près-Payerne
6417;2022;La Grande Béroche
2160;1628;Vuadens
2338;1624;La Verrerie
2208;1753;Matran
2211;1740;Neyruz (FR)
6453;2073;Enges
4319;5462;Siglistorf
4195;5704;Egliswil
3513;7083;Lantsch/Lenz
3789;7514;Sils im Engadin/Segl
2542;4512;Bellach
4726;8374;Fischingen
5752;1322;Croy
5855;1195;Dully
6155;1898;Saint-Gingolph
5534;1046;Rueyres
5804;1058;Jorat-Menthue
5928;1463;Rovray
5424;1149;Berolle
6158;1895;Vionnaz
5477;1304;Cossonay
5649;1131;Tolochenaz
5588;1094;Paudex
5437;1189;Saubraz
6181;3986;Riederalp
5097;6614;Brissago
5050;6721;Serravalle
5307;6683;Campo (Vallemaggia)
5076;6744;Personico
3786;7503;Samedan
3443;9200;Gossau (SG)
766;3765;Oberwil im Simmental
81;8164;Bachs
90;8155;Niederhasli
64;8309;Nürensdorf
52;8303;Bassersdorf
5725;1197;Prangins
5710;1267;Coinsins
6235;3965;Chippis
6638;1242;Satigny
6623;1218;Le Grand-Saconnex
955;3432;Lützelflüh
2963;8262;Ramsen
4651;8274;Gottlieben
4026;5408;Ennetbaden
97;8153;Rümlang
4033;5507;Mellingen
4277;5054;Moosleerau
4004;5025;Densbüren
3204;9300;Wittenbach
2575;4629;Fulenbach
5207;6986;Novaggio
5230;6992;Vernate
5238;6802;Monteceneri
2850;4447;Känerkinden
2841;4469;Anwil
2885;4458;Eptingen
2825;4414;Füllinsdorf
4194;5606;Dintikon
3733;7015;Tamins
2476;4112;Hofstetten-Flüh
2475;4146;Hochwald
3315;8718;Schänis
4206;5102;Rupperswil
614;3673;Linden
3359;9656;Wildhaus-Alt St. Johann
3341;8725;Gommiswald
3033;9405;Lutzenberg
4901;8585;Birwinken
381;3296;Arch
1505;6373;Ennetbürgen
1001;6112;Doppleschwand
1033;6034;Inwil
1065;6037;Root
1093;6016;Neuenkirch
1025;6294;Ermensee
1632;8759;Glarus
6787;2933;Damphreux
6793;2933;Lugnez
502;3234;Vinelz
6758;2874;Saint-Brais
742;2572;Mörigen
6751;2875;Montfaucon
756;2512;Twann-Tüscherz
500;3226;Treiten
6807;2923;Basse-Allaine
687;2747;Corcelles (BE)
681;2744;Belprahon
701;2742;Perrefitte
6719;2807;Pleigne
791;3766;Boltigen
713;2710;Tavannes
362;3048;Ittigen
671;3207;Wileroltigen
4911;8575;Bürglen (TG)
1059;6010;Kriens
3954;7208;Malans
3784;7504;Pontresina
3988;7137;Obersaxen Mundaun
3981;7162;Breil/Brigels
5009;6810;Isone
6021;1957;Ardon
6022;1955;Chamoson
6140;1913;Saillon
424;3472;Wynigen
3834;6535;Roveredo (GR)
3714;7438;Rheinwald
6294;3933;Staldenried
1207;6454;Flüelen
1211;6461;Isenthal
4110;5236;Remigen
4254;4313;Möhlin
4259;4325;Schupfart
4262;4317;Wegenstetten
4163;5070;Frick
4261;4323;Wallbach
335;4943;Oeschenbach
326;4955;Gondiswil
409;3324;Hindelbank
593;3800;Unterseen
2162;1665;Bas-Intyamon
2260;3215;Gempenach
2063;1681;Billens-Hennens
2066;1608;Chapelle (Glâne)
2259;3285;Galmiz
2061;1673;Auboranges
2134;1666;Grandvillard
3986;7187;Tujetsch
382;3263;Büetigen
5426;1172;Bougy-Villars
4082;5610;Wohlen (AG)
5511;1042;Assens
5553;1424;Champagne
5564;1431;Novalles
5554;1426;Concise
5853;1183;Bursins
5859;1185;Mont-sur-Rolle
5680;1045;Ogens
5529;1377;Oulens-sous-Echallens
5655;1169;Yens
5728;1274;Signy-Avenex
5489;1031;Mex (VD)
5566;1428;Provence
5707;1279;Chavannes-de-Bogis
5792;1081;Montpreveyres
5310;6690;Cevio
5324;6670;Avegno Gordevio
151;8703;Erlenbach (ZH)
6110;3952;Leuk
218;8548;Ellikon an der Thur
93;8165;Oberweningen
138;8805;Richterswil
213;8311;Brütten
59;8182;Hochfelden
65;8425;Oberembrach
3235;9424;Rheineck
4946;8570;Weinfelden
4495;9216;Hohentannen
2465;4581;Buchegg
1501;6375;Beckenried
6625;1248;Hermance
1321;8834;Feusisberg
406;3415;Hasle bei Burgdorf
3256;9464;Rüthi (SG)
2937;8212;Neuhausen am Rheinfall
940;3623;Teuffenthal (BE)
3213;9403;Goldach
4641;8595;Altnau
4012;5034;Suhr
4047;5303;Würenlingen
3426;9523;Zuzwil (SG)
4207;5503;Schafisheim
154;8700;Küsnacht (ZH)
176;8315;Lindau
5198;6815;Melide
5144;6822;Arogno
5251;6877;Coldrerio
5236;6925;Collina d'Oro
6201;3944;Unterbäch
2824;4402;Frenkendorf
2859;4444;Rümlingen
2831;4133;Pratteln
932;3623;Horrenbach-Buchen
1206;6472;Erstfeld
4746;9542;Münchwilen (TG)
2456;4584;Lüterswil-Gächliwil
3901;7000;Chur
4561;8552;Felben-Wellhausen
3291;7310;Bad Ragaz
3024;9052;Teufen (AR)
3001;9100;Herisau
4169;5082;Kaisten
5871;1346;L'Abbaye
1097;6221;Rickenbach (LU)
1128;6217;Ettiswil
1091;6216;Mauensee
1099;6214;Schenkon
563;3714;Frutigen
566;3704;Krattigen
921;3633;Amsoldingen
567;3711;Reichenbach im Kandertal
628;3532;Zäziwil
929;3626;Hilterfingen
6806;2943;Vendlincourt
6708;2830;Courrendlin
866;3115;Gerzensee
863;3664;Burgistein
5063;6781;Bedretto
445;2615;Sonvilier
2493;4654;Lostorf
4065;5605;Dottikon
6033;1945;Liddes
6287;3928;Randa
2424;4715;Herbetswil
1213;6467;Schattdorf
4077;5522;Tägerig
4093;5244;Birrhard
4252;4303;Kaiseraugst
980;3375;Inkwil
973;3366;Bettenhausen
345;4923;Wynau
5817;1543;Grandcour
2155;1627;Vaulruz
2153;1642;Sorens
2177;1744;Chénens
2197;1762;Givisiez
2266;3213;Kleinbösingen
2115;1748;Torny
2257;1785;Cressier (FR)
661;1595;Clavaleyres
1056;6404;Greppen
3252;9452;Eichberg
344;4937;Ursenbach
4271;4663;Aarburg
4451;8592;Uttwil
2123;1652;Botterens
2125;1630;Bulle
700;2740;Moutier
5551;1427;Bonvillars
5411;1864;Ormont-Dessus
5754;1326;Juriens
5485;1117;Grancy
5634;1112;Echichens
5498;1315;La Sarraz
5716;1262;Eysins
5674;1682;Lovatens
5652;1168;Villars-sous-Yens
5562;1453;Mauborget
5568;1450;Sainte-Croix
5708;1290;Chavannes-des-Bois
5903;1407;Bioley-Magnoux
5661;1063;Boulens
5625;1136;Bussy-Chardonney
5610;1071;Saint-Saphorin (Lavaux)
5828;1538;Treytorrens (Payerne)
5497;1318;Pompaples
5516;1053;Cugy (VD)
5494;1142;Pampigny
5535;1040;Saint-Barthélemy (VD)
6172;3983;Bister
6282;3922;Eisten
5121;6644;Orselina
5048;6722;Acquarossa
5396;6652;Terre di Pedemonte
155;8708;Männedorf
6109;3953;Inden
23;8415;Berg am Irchel
111;8344;Bäretswil
10;8912;Obfelden
297;8493;Bauma
241;8904;Aesch (ZH)
84;8108;Dällikon
68;8427;Rorbas
6265;1965;Savièse
4314;5465;Mellikon
2546;2540;Grenchen
6628;1200;Lancy
6634;1211;Pregny-Chambésy
3762;7550;Scuol
4048;5436;Würenlos
4144;5040;Schöftland
1208;6487;Göschenen
5756;1354;Montcherand
4136;5043;Holziken
4005;5017;Erlinsbach (AG)
4284;5053;Staffelbach
1366;6433;Morschach
6137;1921;Martigny-Combe
5199;6805;Mezzovico-Vira
5219;6821;Rovio
5197;6818;Melano
5200;6986;Miglieglia
329;4900;Langenthal
2823;4416;Bubendorf
2894;4425;Titterten
2833;4411;Seltisberg
2616;4232;Fehren
2761;4147;Aesch (BL)
2275;3280;Murten
4276;5742;Kölliken
4611;8512;Thundorf
5061;6780;Airolo
988;3365;Seeberg
391;3298;Oberwil bei Büren
1137;6244;Nebikon
1082;6233;Büron
1125;6211;Dagmersellen
2781;4223;Blauen
580;3858;Hofstetten bei Brienz
6782;2952;Cornol
6759;2887;Soubey
3212;9034;Eggersriet
3783;7523;Madulain
4263;4314;Zeiningen
6416;2012;Milvignes
1367;6436;Muotathal
627;3075;Worb
2499;4655;Stüsslingen
2585;5746;Walterswil (SO)
6211;1903;Collonges
2581;4600;Olten
3672;7104;Safiental
4506;8583;Sulgen
4099;5245;Habsburg
3298;8880;Walenstadt
879;3099;Riggisberg
2492;4468;Kienberg
4251;4316;Hellikon
4023;8962;Bergdietikon
4198;5604;Hendschiken
4310;5322;Koblenz
4256;4324;Obermumpf
4205;5504;Othmarsingen
4264;4315;Zuzgen
992;3380;Wangen an der Aare
