,ADR_EGAID,STR_ESID,BDG_EGID,ADR_EDID,STN_LABEL,ADR_NUMBER,BDG_CATEGORY,BDG_NAME,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_VALID,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
492,100862359,10010254,1383157,0,Industriestrasse,1b,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587611,1219145
819,102090933,10010247,1383551,0,Brachmattstrasse,11,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587791,1219493
971,100866541,10112479,1383435,0,Chaletweg,7,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587170,1219388
1048,100869102,10010246,1383490,0,Bielstrasse,14a,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587618,1219439
1249,100869105,10010265,1383493,0,Sonnhalde,5,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587409,1219462
1642,101959729,10010246,1383588,0,Bielstrasse,43,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587480,1219345
2447,100867710,10086636,1383345,0,Burgersriedstrasse,20,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586826,1219368
2631,102383974,10109854,191675232,0,Mettgasse,5a,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588161,1219364
2667,100862342,10010250,1383135,0,Friedhofweg,29,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587524,1219224
2730,101453789,10003776,190145329,0,Guinandstrasse,34,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587976,1219447
4119,101959730,10057928,1383607,0,Bahnhofstrasse,8,partly_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587835,1219204
4235,100866458,10010246,1383430,0,Bielstrasse,42,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587261,1219336
5342,100866427,10010245,1383386,0,Ahornweg,7,other_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586883,1219453
5363,100848530,10086640,1383645,0,Orpundstrasse,3,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588249,1219208
5988,101953706,10010250,1383134,0,Friedhofweg,27,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587543,1219226
6592,102213468,10086642,1383169,0,Römerstrasse,1,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587584,1218881
6820,100901735,10010253,1383308,0,Haldenstrasse,35,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587052,1219356
7503,101935951,10104746,1383672,0,Obergasse,1,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588169,1219305
7740,101929434,10104746,1383671,0,Obergasse,22,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587846,1219347
8978,102706819,10109854,191896295,0,Mettgasse,18a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588176,1219430
9240,100901716,10180446,1383287,0,Tulpenweg,5,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587116,1219346
9257,100866440,10010246,1383405,0,Bielstrasse,55,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587382,1219283
10377,101103149,10086636,3069449,0,Burgersriedstrasse,6a,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587049,1219473
10417,102084293,10086640,1383644,0,Orpundstrasse,1,partly_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588214,1219202
11168,101936777,10010247,1383556,0,Brachmattstrasse,21,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587814,1219618
11297,100869115,10057929,1383503,0,Bärletweg,11,partly_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587504,1219531
13021,101935950,10086636,1383278,0,Burgersriedstrasse,27,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586790,1219322
13188,100848572,10109854,1383703,0,Mettgasse,18,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588186,1219438
13208,100869173,10010246,1383589,0,Bielstrasse,45,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587457,1219343
13620,102099401,10010246,191352510,0,Bielstrasse,28c,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587454,1219369
14294,100867707,10086636,1383342,0,Burgersriedstrasse,14,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586908,1219393
14585,100867712,10010253,1383347,0,Haldenstrasse,14,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586784,1219359
14682,100869139,10010264,1383535,0,Rosenweg,1,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587705,1219604
15028,100867722,10086643,1383361,0,Waldeckstrasse,10,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586947,1219528
15628,101769203,10104746,190504516,0,Obergasse,21a,residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587901,1219312
