;Unnamed: 0;ADR_EGAID;STR_ESID;BDG_EGID;ADR_EDID;STN_LABEL;ADR_NUMBER;BDG_CATEGORY;BDG_NAME;ZIP_LABEL;COM_FOSNR;COM_CANTON;ADR_STATUS;ADR_OFFICIAL;ADR_VALID;ADR_MODIFIED;ADR_EASTING;ADR_NORTHING;building_id;dach0_featureId;dach0_flaeche;dach0_gstrahlung;dach0_eignung;dach0_stromertrag;dach1_featureId;dach1_flaeche;dach1_gstrahlung;dach1_eignung;dach1_stromertrag;dach2_featureId;dach2_flaeche;dach2_gstrahlung;dach2_eignung;dach2_stromertrag;dach3_featureId;dach3_flaeche;dach3_gstrahlung;dach3_eignung;dach3_stromertrag;dach4_featureId;dach4_flaeche;dach4_gstrahlung;dach4_eignung;dach4_stromertrag;dach5_featureId;dach5_flaeche;dach5_gstrahlung;dach5_eignung;dach5_stromertrag;dach6_featureId;dach6_flaeche;dach6_gstrahlung;dach6_eignung;dach6_stromertrag;dach7_featureId;dach7_flaeche;dach7_gstrahlung;dach7_eignung;dach7_stromertrag;dach8_featureId;dach8_flaeche;dach8_gstrahlung;dach8_eignung;dach8_stromertrag;dach9_featureId;dach9_flaeche;dach9_gstrahlung;dach9_eignung;dach9_stromertrag;dach10_featureId;dach10_flaeche;dach10_gstrahlung;dach10_eignung;dach10_stromertrag;dach11_featureId;dach11_flaeche;dach11_gstrahlung;dach11_eignung;dach11_stromertrag;dach12_featureId;dach12_flaeche;dach12_gstrahlung;dach12_eignung;dach12_stromertrag;dach13_featureId;dach13_flaeche;dach13_gstrahlung;dach13_eignung;dach13_stromertrag;dach14_featureId;dach14_flaeche;dach14_gstrahlung;dach14_eignung;dach14_stromertrag;dach15_featureId;dach15_flaeche;dach15_gstrahlung;dach15_eignung;dach15_stromertrag;dach16_featureId;dach16_flaeche;dach16_gstrahlung;dach16_eignung;dach16_stromertrag;dach17_featureId;dach17_flaeche;dach17_gstrahlung;dach17_eignung;dach17_stromertrag;dach18_featureId;dach18_flaeche;dach18_gstrahlung;dach18_eignung;dach18_stromertrag;dach19_featureId;dach19_flaeche;dach19_gstrahlung;dach19_eignung;dach19_stromertrag;dach20_featureId;dach20_flaeche;dach20_gstrahlung;dach20_eignung;dach20_stromertrag;dach21_featureId;dach21_flaeche;dach21_gstrahlung;dach21_eignung;dach21_stromertrag;dach22_featureId;dach22_flaeche;dach22_gstrahlung;dach22_eignung;dach22_stromertrag;dach23_featureId;dach23_flaeche;dach23_gstrahlung;dach23_eignung;dach23_stromertrag;dach24_featureId;dach24_flaeche;dach24_gstrahlung;dach24_eignung;dach24_stromertrag
0;492;100862359;10010254;1383157;0;Industriestrasse;1b;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587611;1219145;2437278;13458904;41.46109813;51495;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;7003;13458907;23.27249089;24762;Gut##Bonne##Buona##Good##Gut;3368;13458906;22.59987721;31301;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;4257;13458905;24.01067447;25715;Gut##Bonne##Buona##Good##Gut;3497;13458908;24.63032323;33941;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;4616;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;819;102090933;10010247;1383551;0;Brachmattstrasse;11;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587791;1219493;233346;13466214;101.3297868;100418;Mittel##Moyenne##Media##Mean##Mittel;13657;13466213;111.842076;151993;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;20671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;971;100866541;10112479;1383435;0;Chaletweg;7;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587170;1219388;1696366;13461700;6.094880987;7131;Gut##Bonne##Buona##Good##Gut;970;13461698;39.79487065;37726;Mittel##Moyenne##Media##Mean##Mittel;5131;13461695;14.83498928;20635;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;2806;13461699;15.07728952;12378;Mittel##Moyenne##Media##Mean##Mittel;1683;13461697;14.83659144;9540;Gering##Faible##Bassa##Low##Gering;1297;13461696;41.13356922;53391;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;7261;13461701;4.909163501;4909;Gut##Bonne##Buona##Good##Gut;668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1048;100869102;10010246;1383490;0;Bielstrasse;14a;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587618;1219439;377451;13462265;42.2678192;53976;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;7341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1249;100869105;10010265;1383493;0;Sonnhalde;5;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587409;1219462;1321248;13461880;86.73334739;76759;Mittel##Moyenne##Media##Mean##Mittel;10439;13461881;86.93009907;115095;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;15653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1642;101959729;10010246;1383588;0;Bielstrasse;43;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587480;1219345;861651;13461992;68.26664246;75503;Gut##Bonne##Buona##Good##Gut;10268;13461993;85.10354698;106294;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;14456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2447;100867710;10086636;1383345;0;Burgersriedstrasse;20;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2586826;1219368;1223552;13461382;79.65013666;85146;Gut##Bonne##Buona##Good##Gut;11580;13461383;80.75721861;105711;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;14377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;2631;102383974;10109854;191675232;0;Mettgasse;5a;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2588161;1219364;905242;13462710;133.962381;161827;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;22008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;2667;100862342;10010250;1383135;0;Friedhofweg;29;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587524;1219224;2163576;13458920;63.28234387;69547;Gut##Bonne##Buona##Good##Gut;9458;13458921;64.28710646;76373;Gut##Bonne##Buona##Good##Gut;10387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2730;101453789;10003776;190145329;0;Guinandstrasse;34;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587976;1219447;671677;13462401;80.08588172;100428;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;13658;13462400;80.86385956;101403;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;13791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
