Adresse;PLZ;Stadt;Preis (CHF/m2/jahr);Link;Ganze Adresse;Longitude;Latitude
Rennweg 57;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001658051;Rennweg 57 8001;8.53886890411377;47.373695373535156
Dreikönigstrasse 7;8002;Zürich;680;https://www.homegate.ch/rent/3001700620;Dreikönigstrasse 7 8002;8.538177490234375;47.36741638183594
Universitätsstrasse 105;8006;Zürich;474;https://www.homegate.ch/rent/3001736506;Universitätsstrasse 105 8006;8.54810619354248;47.38438034057617
Vulkanstrasse 130;8048;Zürich;250;https://www.homegate.ch/rent/3001656113;Vulkanstrasse 130 8048;8.480015754699707;47.39533233642578
Flurstrasse;8048;Zürich;260;https://www.homegate.ch/rent/3001606434;Flurstrasse 8048;8.497150421142578;47.38811111450195
Vulkanstrasse 130;8048;Zürich;250;https://www.homegate.ch/rent/3001431755;Vulkanstrasse 130 8048;8.480015754699707;47.39533233642578
Vulkanstrasse 130;8048;Zürich;250;https://www.homegate.ch/rent/3001431754;Vulkanstrasse 130 8048;8.480015754699707;47.39533233642578
Vulkanstrasse 130;8048;Zürich;250;https://www.homegate.ch/rent/3001431753;Vulkanstrasse 130 8048;8.480015754699707;47.39533233642578
Altstetterstrasse 124;8048;Zürich;Price on request;https://www.homegate.ch/rent/3001477317;Altstetterstrasse 124 8048;8.4865140914917;47.389644622802734
Limmatquai 92;8001;Zürich;10300;https://www.homegate.ch/rent/3001769241;Limmatquai 92 8001;8.543136596679688;47.37397384643555
Bahnhofstrasse 69;8001;Zürich;795;https://www.homegate.ch/rent/3001646088;Bahnhofstrasse 69 8001;8.538156509399414;47.37407684326172
Bahnhofstrasse 71;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001755858;Bahnhofstrasse 71 8001;8.53826904296875;47.37432861328125
Gottfried-Keller-Strasse 7;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001542666;Gottfried-Keller-Strasse 7 8001;8.547481536865234;47.36640930175781
Marsstrasse 2;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001388782;Marsstrasse 2 8001; 8.534620224640374;47.361624326955436
Bleicherweg 64;8002;Zürich;4160;https://www.homegate.ch/rent/3001766673;Bleicherweg 64 8002;8.53286361694336;47.367488861083984
Stockerstrasse 43;8002;Zürich;7750;https://www.homegate.ch/rent/3001328354;Stockerstrasse 43 8002;8.534263610839844;47.367923736572266
Dianastrasse 9;8002;Zürich;520;https://www.homegate.ch/rent/3000849318;Dianastrasse 9 8002;8.533132553100586;47.368656158447266
General-Guisan-Quai 36;8002;Zürich;Price on request;https://www.homegate.ch/rent/3001735545;General-Guisan-Quai 36 8002;8.535439491271973;47.36396789550781
Manessestrasse 2;8003;Zürich;8450;https://www.homegate.ch/rent/3001738403;Manessestrasse 2 8003;8.527671813964844;47.369388580322266
Kanzleistrasse 129;8004;Zürich;4000;https://www.homegate.ch/rent/3001764372;Kanzleistrasse 129 8004;8.520004272460938;47.376800537109375
Zeughausstrasse 5;8004;Zürich;380;https://www.homegate.ch/rent/3001451823;Zeughausstrasse 5 8004;8.531700134277344;47.37474060058594
Förrlibuckstrasse 30;8005;Zürich;390;https://www.homegate.ch/rent/3001435915;Förrlibuckstrasse 30 8005;8.515863418579102;47.3914680480957
Stampfenbachstrasse 85;8006;Zürich;501;https://www.homegate.ch/rent/3001744459;Stampfenbachstrasse 85 8006;8.541487693786621;47.38240432739258
Dufourstrasse 185a;8008;Zürich;550;https://www.homegate.ch/rent/3001172819;Dufourstrasse 185a 8008;8.556660652160645;47.35402297973633
Dufourstrasse 101;8008;Zürich;405;https://www.homegate.ch/rent/3001166784;Dufourstrasse 101 8008;8.551755905151367;47.358985900878906
Bellerivestrasse 33;8008;Zürich;610;https://www.homegate.ch/rent/3001367504;Bellerivestrasse 33 8008;8.55066204071045;47.35795974731445
Asylstrasse 70;8032;Zürich;4600;https://www.homegate.ch/rent/3001742440;Asylstrasse 70 8032;8.560816764831543;47.36730194091797
Hofackerstrasse 13a;8032;Zürich;7835;https://www.homegate.ch/rent/3001752691;Hofackerstrasse 13a 8032;8.562751770019531;47.36199951171875
Maneggstrasse 93-95;8041;Zürich;280;https://www.homegate.ch/rent/3001733001;Maneggstrasse 93-95 8041;8.52000904083252;47.337501525878906
Binzstrasse 24;8045;Zürich;250;https://www.homegate.ch/rent/3001439854;Binzstrasse 24 8045;8.514180183410645;47.362579345703125
Rautistrasse 33;8047;Zürich;275;https://www.homegate.ch/rent/3001593601;Rautistrasse 33 8047;8.49167537689209;47.38092041015625
Flurstrasse 64 & 66;8047;Zürich;280;https://www.homegate.ch/rent/3001671081;Flurstrasse 64 & 66 8047;8.493608474731445;47.38357925415039
Bernerstrasse Süd;8048;Zürich;220;https://www.homegate.ch/rent/3001622904;Bernerstrasse Süd 8048;8.486639022827148;47.39438247680664
Bernerstrasse Nord 202;8048;Zürich;210;https://www.homegate.ch/rent/3001310073;Bernerstrasse Nord 202 8048; 8.483867501350387;47.39617421966477
Bernerstrasse Süd;8048;Zürich;220;https://www.homegate.ch/rent/3001622910;Bernerstrasse Süd 8048;8.486639022827148;47.39438247680664
Bernerstrasse Süd;8048;Zürich;220;https://www.homegate.ch/rent/3001131775;Bernerstrasse Süd 8048;8.486639022827148;47.39438247680664
Herostrasse 9;8048;Zürich;180;https://www.homegate.ch/rent/3001619403;Herostrasse 9 8048;8.488344192504883;47.39385986328125
Bändliweg 20;8048;Zürich;250;https://www.homegate.ch/rent/3001069994;Bändliweg 20 8048;8.483774185180664;47.394840240478516
Altstetterstrasse 124;8048;Zürich;Price on request;https://www.homegate.ch/rent/3000086498;Altstetterstrasse 124 8048;8.4865140914917;47.389644622802734
Binzmühlestrasse 210;8050;Zürich;3600;https://www.homegate.ch/rent/3001418392;Binzmühlestrasse 210 8050;8.531195640563965;47.413909912109375
Hagenholzstrasse 81A;8050;Zürich;220;https://www.homegate.ch/rent/3001663367;Hagenholzstrasse 81A 8050;8.558866500854492;47.41545867919922
Leutschenbachstr. 95;8050;Zürich;250;https://www.homegate.ch/rent/3001682389;Leutschenbachstr. 95 8050;8.55895709991455;47.41786575317383
Leutschenbachstr. 95;8050;Zürich;255;https://www.homegate.ch/rent/3001614978;Leutschenbachstr. 95 8050;8.55895709991455;47.41786575317383
Grünhaldenstrasse 6;8050;Zürich;Price on request;https://www.homegate.ch/rent/3000763736;Grünhaldenstrasse 6 8050;8.54566478729248;47.41617965698242
Bahnhofstrasse 37;8001;Zürich;100;https://www.homegate.ch/rent/108829519;Bahnhofstrasse 37 8001;8.538429260253906;47.37137222290039
Bahnhoftsrasse 10 / Eingang Börsenstrasse 18;8001;Zürich;39.48;https://www.homegate.ch/rent/107687896;Bahnhoftsrasse 10 / Eingang Börsenstrasse 18 8001;8.539912223815918;47.36872100830078
Bahnhofstrasse 10;8001;Zürich;55.08;https://www.homegate.ch/rent/107687899;Bahnhofstrasse 10 8001;8.540120124816895;47.368133544921875
Bahnhofstrasse 10;8001;Zürich;89.88;https://www.homegate.ch/rent/107687898;Bahnhofstrasse 10 8001;8.540120124816895;47.368133544921875
Lintheschergasse 17;8001;Zürich;520;https://www.homegate.ch/rent/3000951735;Lintheschergasse 17 8001;8.538628578186035;47.376380920410156
Uraniastrasse 20;8001;Zürich;516;https://www.homegate.ch/rent/3001234661;Uraniastrasse 20 8001;8.536096572875977;47.374080657958984
Löwenstrasse 12;8001;Zürich;495;https://www.homegate.ch/rent/3001656517;Löwenstrasse 12 8001;8.535168647766113;47.37357711791992
Löwenstrasse 42;8001;Zürich;522;https://www.homegate.ch/rent/3001748592;Löwenstrasse 42 8001;8.53685474395752;47.37529754638672
Lintheschergasse 10;8001;Zürich;650;https://www.homegate.ch/rent/3001764750;Lintheschergasse 10 8001;8.538741111755371;47.37600326538086
Bahnhofstrasse 98;8001;Zürich;720;https://www.homegate.ch/rent/3001704266;Bahnhofstrasse 98 8001;8.539673805236816;47.376094818115234
Freigutstrasse 40;8001;Zürich;380;https://www.homegate.ch/rent/3001311967;Freigutstrasse 40 8001;8.53011703491211;47.36915969848633
Löwenstrasse 12;8001;Zürich;495;https://www.homegate.ch/rent/3001653783;Löwenstrasse 12 8001;8.535168647766113;47.37357711791992
Schifflände 22;8001;Zürich;490;https://www.homegate.ch/rent/3001645176;Schifflände 22 8001;8.544538497924805;47.36882781982422
Bahnhofstrasse 100;8001;Zürich;1065.16;https://www.homegate.ch/rent/3001261849;Bahnhofstrasse 100 8001;8.539724349975586;47.376182556152344
Glockengasse 18;8001;Zürich;600;https://www.homegate.ch/rent/3001503422;Glockengasse 18 8001;8.539992332458496;47.3720817565918
Bahnhofstrase 73;8001;Zürich;600;https://www.homegate.ch/rent/3001709852;Bahnhofstrase 73 8001;8.538329124450684;47.37445831298828
Bahnhofstrasse 100;8001;Zürich;1142.96;https://www.homegate.ch/rent/3001261623;Bahnhofstrasse 100 8001;8.539724349975586;47.376182556152344
Uraniastrasse 12;8001;Zürich;590;https://www.homegate.ch/rent/3000482581;Uraniastrasse 12 8001;8.536787986755371;47.37466812133789
The Circle 09;8001;Zürich;600;https://www.homegate.ch/rent/3001258488;The Circle 09 8001; 8.564985950061656;47.45078689722823
Uraniastrasse 31;8001;Zürich;520;https://www.homegate.ch/rent/3001071548;Uraniastrasse 31 8001;8.535984992980957;47.37348937988281
Bahnhofstrasse 81;8001;Zürich;790;https://www.homegate.ch/rent/3001033889;Bahnhofstrasse 81 8001;8.53909969329834;47.375919342041016
Pelikanstrasse 18;8001;Zürich;650;https://www.homegate.ch/rent/3001473472;Pelikanstrasse 18 8001;8.536371231079102;47.3717155456543
Bahnhofstrasse 28;8001;Zürich;850;https://www.homegate.ch/rent/3001452343;Bahnhofstrasse 28 8001;8.53952693939209;47.369815826416016
Uraniastrasse 31;8001;Zürich;568;https://www.homegate.ch/rent/3001369144;Uraniastrasse 31 8001;8.535984992980957;47.37348937988281
Limmatquai 4;8001;Zürich;850;https://www.homegate.ch/rent/3001720191;Limmatquai 4 8001;8.544960021972656;47.36799621582031
Bahnhofplatz 2;8001;Zürich;790;https://www.homegate.ch/rent/3001483744;Bahnhofplatz 2 8001;8.540830612182617;47.37682342529297
Löwenstrasse 32;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001333473;Löwenstrasse 32 8001;8.536298751831055;47.37472915649414
Limmatquai 1;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001733630;Limmatquai 1 8001;8.544623374938965;47.36772918701172
Bahnhofstrasse 67;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001744287;Bahnhofstrasse 67 8001;8.53801441192627;47.37369155883789
Stadelhoferstr. 18;8001;Zürich;Price on request;https://www.homegate.ch/rent/3000891489;Stadelhoferstr. 18 8001;8.547636985778809;47.36698532104492
Löwenstrasse 55;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001704310;Löwenstrasse 55 8001;8.537649154663086;47.376609802246094
Limmatquai 144 / Zähringerstr.;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001637286;Limmatquai 144 / Zähringerstr. 8001;8.544174194335938;47.376564025878906
Zähringerstrasse 24;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001650096;Zähringerstrasse 24 8001;8.544767379760742;47.37520980834961
Limmatquai 52;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001364076;Limmatquai 52 8001;8.543158531188965;47.37138748168945
Basteiplatz 7;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001758807;Basteiplatz 7 8001;8.535841941833496;47.36969757080078
General-Guisan-Quai 30;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001735544;General-Guisan-Quai 30 8001; 8.535998186007488;47.36434935242454
Sihlstrasse 3;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001724740;Sihlstrasse 3 8001;8.537691116333008;47.37370300292969
Glärnischstrasse 8;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001495793;Glärnischstrasse 8 8001; 8.538871759020203;47.366851645913705
Selnaustrasse 32;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001724736;Selnaustrasse 32 8001;8.5316743850708;47.37123489379883
Bahnhofstrasse 69a;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001730138;Bahnhofstrasse 69a 8001;8.538202285766602;47.37419128417969
Löwenstrasse 25;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001124348;Löwenstrasse 25 8001;8.535500526428223;47.374420166015625
Bahnhofstrasse 69a;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001763636;Bahnhofstrasse 69a 8001;8.538202285766602;47.37419128417969
Bahnhofstrasse 71;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001519840;Bahnhofstrasse 71 8001;8.53826904296875;47.37432861328125
Bahnhofstrasse 71;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001756827;Bahnhofstrasse 71 8001;8.53826904296875;47.37432861328125
Bahnhofstrasse 108;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001673248;Bahnhofstrasse 108 8001;8.539981842041016;47.37666320800781
Uraniastrasse 14;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001764335;Uraniastrasse 14 8001;8.536569595336914;47.37455749511719
Talstrasse 41;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001608311;Talstrasse 41 8001;8.537249565124512;47.36930465698242
Bahnhofstrasse 12;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001668468;Bahnhofstrasse 12 8001;8.540068626403809;47.368282318115234
Alfred-Escher-Strasse 5;8002;Zürich;375;https://www.homegate.ch/rent/3001076144;Alfred-Escher-Strasse 5 8002;8.532698631286621;47.3654899597168
Parkring 7;8002;Zürich;402;https://www.homegate.ch/rent/3001467605;Parkring 7 8002;8.53193187713623;47.36679458618164
Richard Wagner-Strasse 26;8002;Zürich;520;https://www.homegate.ch/rent/3001635007;Richard Wagner-Strasse 26 8002;8.53259563446045;47.359474182128906
Seestrasse 160;8002;Zürich;274.93;https://www.homegate.ch/rent/3001239358;Seestrasse 160 8002;8.531987190246582;47.35566329956055
Beethovenstrasse 24;8002;Zürich;450;https://www.homegate.ch/rent/3001704254;Beethovenstrasse 24 8002;8.536630630493164;47.366676330566406
Freigutstrasse 26;8002;Zürich;440;https://www.homegate.ch/rent/3001491125;Freigutstrasse 26 8002;8.53105640411377;47.36844253540039
Tödistrasse 36;8002;Zürich;491.80;https://www.homegate.ch/rent/3001746909;Tödistrasse 36 8002;8.534516334533691;47.366703033447266
