Addresse;PLZ;Postleitzahl;Anzahl ;Wohnfläche in m²;Preis in CHF;Preis pro m²;Ganze Adresse;Longitude;Latitude
Altwiesenstr. 91;8051;Zürich;3;64;1773;27,7;Altwiesenstr. 91 8051;8.581244468688965;47.403480529785156
Stodolastr. 15;8053;Zürich;2;62;1805;29,11;Stodolastr. 15 8053;8.590155601501465;47.358097076416016
Grossackerstrasse 75;8041;Zürich;3,5;94;2155;22,93;Grossackerstrasse 75 8041;8.509812355041504;47.323917388916016
Bergellerstrasse 32;8049;Zürich;3,5;77;2600;33,77;Bergellerstrasse 32 8049;8.49285888671875;47.40645980834961
Luegislandstr. 169;8051;Zürich;3;66;1790;27,12;Luegislandstr. 169 8051;8.570541381835938;47.4096794128418
Katzenbachstrasse 227;8052;Zürich;4,5;121;2880;23,8;Katzenbachstrasse 227 8052;8.541614532470703;47.424171447753906
Regulastrasse 74;8046;Zürich;4;66;1689;25,59;Regulastrasse 74 8046;8.507342338562012;47.41801071166992
Allenmoosstrasse 62;8057;Zürich;2,5;59;500;8,47;Allenmoosstrasse 62 8057;8.540263175964355;47.403648376464844
Kügeliloostrasse 99;8046;Zürich;2,5;67;2030;30,3;Kügeliloostrasse 99 8046;8.530203819274902;47.41554641723633
Kügeliloostrasse 87;8046;Zürich;3,5;88;2420;27,5;Kügeliloostrasse 87 8046;8.529988288879395;47.414669036865234
Auhofstrasse 5;8051;Zürich;2;63;1660;26,35;Auhofstrasse 5 8051;8.56872844696045;47.4066276550293
Dübendorfstrasse 44;8051;Zürich;2,5;68;1395;20,51;Dübendorfstrasse 44 8051;8.577775955200195;47.40254211425781
Bolleystrasse;8006;Zürich;4,5;;5390;;Bolleystrasse 8006;8.548406600952148;47.38205337524414
Viktoriastrasse 30B;8057;Zürich;3,5;;2250;;Viktoriastrasse 30B 8057;8.551559448242188;47.404205322265625
Leutschenbachstrasse 48 A;8050;Zürich;3,5;126;3690;29,29;Leutschenbachstrasse 48 A 8050;8.555319786071777;47.415931701660156
Kürbergstrasse 24;8049;Zürich;2;67;2950;44,03;Kürbergstrasse 24 8049;8.50742244720459;47.39915466308594
Jungstrasse 18;8050;Zürich;2;60;1490;24,83;Jungstrasse 18 8050;8.543237686157227;47.41508865356445
Hardstr. 8;8004;Zürich;1;14;900;64,29;Hardstr. 8 8004;8.511123657226562;47.378700256347656
Baslerstrasse 107;8048;Zürich;3,5;80;2550;31,88;Baslerstrasse 107 8048;8.492484092712402;47.3875617980957
Beethovenstrasse 24;8002;Zürich;3,5;130;4975;38,27;Beethovenstrasse 24 8002;8.536630630493164;47.366676330566406
Storchengasse 12;8001;Zürich;1;30;2700;90;Storchengasse 12 8001;8.54152774810791;47.37089538574219
Caspar Wüst-Strasse 42;8052;Zürich;3;60;1915;31,92;Caspar Wüst-Strasse 42 8052;8.542946815490723;47.430904388427734
Storchengasse 12;8001;Zürich;1;21;2500;119,05;Storchengasse 12 8001;8.54152774810791;47.37089538574219
Carl-Spitteler-Str. 20/22/24;8053;Zürich;3;75;1890;25,2;Carl-Spitteler-Str. 20/22/24 8053;8.588780403137207;47.356689453125
Verena-Conzett-Strasse 4;8004;Zürich;2,5;50;1886;37,72;Verena-Conzett-Strasse 4 8004;8.526969909667969;47.371150970458984
Etzelstrasse 3;8038;Zürich;3,5;104;3220;30,96;Etzelstrasse 3 8038;8.530197143554688;47.34458923339844
Schaffhauserstrasse 230 A;8057;Zürich;1;34;1202;35,35;Schaffhauserstrasse 230 A 8057;8.547149658203125;47.40232467651367
Forchstrasse 241;8032;Zürich;3,5;106;2674;25,23;Forchstrasse 241 8032;8.570696830749512;47.35914611816406
Höschgasse 68;8008;Zürich;3,5;87;5350;61,49;Höschgasse 68 8008;8.555920600891113;47.357975006103516
Birchstrasse 184;8050;Zürich;3,5;111;2764;24,9;Birchstrasse 184 8050;8.538323402404785;47.41544723510742
Maneggplatz 16;8041;Zürich;4,5;107;3290;30,75;Maneggplatz 16 8041;8.520716667175293;47.339881896972656
Käferholzstrasse 54;8057;Zürich;4,5;111;3835;34,55;Käferholzstrasse 54 8057;8.53144359588623;47.40230178833008
Griesernweg 20;8037;Zürich;2,5;70;2600;37,14;Griesernweg 20 8037;8.519397735595703;47.39716720581055
Trottenstrasse 95;8037;Zürich;4,5;115;3950;34,35;Trottenstrasse 95 8037;8.517005920410156;47.396018981933594
Florastrasse 28;8008;Zürich;3,5;94;5950;63,3;Florastrasse 28 8008;8.550592422485352;47.36115264892578
Weinbergstrasse 64;8006;Zürich;3,5;78;4250;54,49;Weinbergstrasse 64 8006;8.543869972229004;47.382362365722656
Weinbergstrasse 68;8006;Zürich;1,5;35;2800;80;Weinbergstrasse 68 8006;8.543872833251953;47.38270950317383
Albisstrasse 41;8038;Zürich;4;85;2694;31,69;Albisstrasse 41 8038;8.530377388000488;47.34360885620117
Hohlstrasse 488;8048;Zürich;4,5;124;3430;27,66;Hohlstrasse 488 8048;8.495051383972168;47.38946533203125
Schaffhauserstrasse 165;8057;Zürich;2;54;1792;33,19;Schaffhauserstrasse 165 8057;8.542262077331543;47.39944839477539
Heerenschürlistrasse 4;8051;Zürich;3,5;77;2100;27,27;Heerenschürlistrasse 4 8051;8.59206485748291;47.400020599365234
Limmatquai 48;8001;Zürich;2,5;70;2950;42,14;Limmatquai 48 8001;8.543249130249023;47.37118148803711
Heerenschürlistrasse 8;8051;Zürich;3,5;84;2340;27,86;Heerenschürlistrasse 8 8051;8.592015266418457;47.400386810302734
Höschgasse 78;8008;Zürich;1,5;38;1850;48,68;Höschgasse 78 8008;8.556256294250488;47.358123779296875
Grosswiesenstrasse 153;8051;Zürich;2;55;1520;27,64;Grosswiesenstrasse 153 8051;8.588547706604004;47.40365982055664
Bombachsteig 9;8049;Zürich;3;63;2100;33,33;Bombachsteig 9 8049;8.489534378051758;47.40373611450195
Herdernstr. 70;8004;Zürich;3,5;90;3450;38,33;Herdernstr. 70 8004;8.507140159606934;47.383785247802734
Dennlerstr. 24;8047;Zürich;4,5;94;2244;23,87;Dennlerstr. 24 8047;8.497806549072266;47.381561279296875
Witikonerstr. 243 / 245;8053;Zürich;1,5;36;1180;32,78;Witikonerstr. 243 / 245 8053;8.581607818603516;47.35942840576172
Bachmannweg 41;8046;Zürich;2,5;71;1830;25,77;Bachmannweg 41 8046;8.504450798034668;47.4208984375
Käferholzstrasse 48;8057;Zürich;2,5;72;2640;36,67;Käferholzstrasse 48 8057;8.53292465209961;47.40213394165039
Felsenrainstrasse 69;8052;Zürich;3,5;85;2130;25,06;Felsenrainstrasse 69 8052;8.5397310256958;47.418758392333984
Gutstrasse 172 174 176;8055;Zürich;3;61;1955;32,05;Gutstrasse 172 174 176 8055;8.50262451171875;47.37482452392578
Maneggplatz 14;8041;Zürich;2,5;65;2010;30,92;Maneggplatz 14 8041;8.520726203918457;47.340206146240234
Vulkanstrasse 110a;8048;Zürich;2,5;58;2200;37,93;Vulkanstrasse 110a 8048;8.485149383544922;47.39344024658203
Oberwiesenstrasse 73 F;8050;Zürich;2,5;62;1780;28,71;Oberwiesenstrasse 73 F 8050;8.53114128112793;47.41232681274414
Althoosstrasse 11;8046;Zürich;1;23;1430;62,17;Althoosstrasse 11 8046;8.52288818359375;47.410701751708984
Tuchmacherstrasse 34;8041;Zürich;3,5;96;2820;29,38;Tuchmacherstrasse 34 8041;8.5210542678833;47.340206146240234
Turbinenstrasse 32;8005;Zürich;2,5;73;2630;36,03;Turbinenstrasse 32 8005;8.51462173461914;47.3873291015625
