WGS84_1;WGS84_2;LV95_1;LV95_2
7.275362495;47.12317509;2587611;1219145
7.277725127;47.12630866;2587791;1219493
7.269543905;47.12535238;2587170;1219388
7.275446632;47.1258197;2587618;1219439
7.272691579;47.12602262;2587409;1219462
7.273630554;47.12497158;2587480;1219345
7.265010962;47.12516568;2586826;1219368
7.282604801;47.12515509;2588161;1219364
7.274213784;47.12388404;2587524;1219224
7.280164495;47.12589831;2587976;1219447
7.278312843;47.12370997;2587835;1219204
7.270744658;47.12488642;2587261;1219336
7.265759671;47.12593138;2586883;1219453
7.283768624;47.12375348;2588249;1219208
7.27446412;47.12390239;2587543;1219226
7.275013983;47.12079994;2587584;1218881
7.267989722;47.12506223;2587052;1219356
7.282711788;47.12462454;2588169;1219305
7.278453933;47.12499643;2587846;1219347
7.282800744;47.12574902;2588176;1219430
7.268833452;47.12497354;2587116;1219346
7.272340777;47.12441202;2587382;1219283
7.26794681;47.12611457;2587049;1219473
7.283307535;47.12369888;2588214;1219202
7.278024852;47.12743344;2587814;1219618
7.273941666;47.12664507;2587504;1219531
7.264537878;47.1247512;2586790;1219322
7.282932323;47.12582116;2588186;1219438
7.273327498;47.12495315;2587457;1219343
7.273287235;47.12518696;2587454;1219369
7.266090896;47.12539219;2586908;1219393
7.264457716;47.12508389;2586784;1219359
7.276588683;47.12730548;2587705;1219604
7.266600947;47.12660727;2586947;1219528
7.279179709;47.12468263;2587901;1219312
7.2731083;47.12339672;2587440;1219170
7.27085992;47.12594798;2587270;1219454
7.261478463;47.12137341;2586557;1218947
7.28161947;47.12411034;2588086;1219248
7.286679449;47.12432407;2588470;1219271
7.272021561;47.12534702;2587358;1219387
7.276268477;47.11994722;2587679;1218786
7.277306447;47.12095612;2587758;1218898
7.269928598;47.12040576;2587198;1218838
7.285230812;47.12397133;2588360;1219232
7.271189169;47.12602042;2587295;1219462
7.277053567;47.12611882;2587740;1219472
7.282620038;47.12445351;2588162;1219286
7.269599649;47.124399;2587174;1219282
7.285835526;47.12449384;2588406;1219290
7.285066514;47.12610289;2588348;1219469
7.271971888;47.12437551;2587354;1219279
7.272497601;47.12483501;2587394;1219330
7.269436014;47.12612578;2587162;1219474
7.277489847;47.12131617;2587772;1218938
7.268345985;47.12080818;2587078;1218883
7.275514319;47.12523513;2587623;1219374
7.269743929;47.12461509;2587185;1219306
7.267753399;47.12478304;2587034;1219325
7.28272813;47.12354518;2588170;1219185
7.270138065;47.12500246;2587215;1219349
7.284370712;47.12517548;2588295;1219366
7.279767835;47.12632951;2587946;1219495
7.280243837;47.12580847;2587982;1219437
7.261166243;47.12015862;2586533;1218812
7.273576137;47.12552018;2587476;1219406
7.270912579;47.12596605;2587274;1219456
7.270668875;47.11966927;2587254;1218756
7.267686754;47.1250168;2587029;1219351
7.270149079;47.12568608;2587216;1219425
7.287430221;47.12446898;2588527;1219287
7.274960006;47.12549519;2587581;1219403
7.286109311;47.12552862;2588427;1219405
7.285714616;47.12529422;2588397;1219379
7.27608766;47.12305919;2587666;1219132
7.277159381;47.12599304;2587748;1219458
7.286187869;47.12570862;2588433;1219425
7.285560923;47.1237469;2588385;1219207
7.272825892;47.12521327;2587419;1219372
7.275355814;47.12535184;2587611;1219387
7.274871048;47.12014311;2587573;1218808
7.276553941;47.12573133;2587702;1219429
7.269093703;47.12601733;2587136;1219462
7.26641702;47.12642709;2586933;1219508
7.288220279;47.12470389;2588587;1219313
7.278459636;47.12747903;2587847;1219623
7.278459674;47.12308953;2587846;1219135
7.27799613;47.12821595;2587812;1219705
7.279979399;47.12609594;2587962;1219469
7.26488968;47.12598403;2586817;1219459
7.277466941;47.12452731;2587771;1219295
7.275304093;47.12502795;2587607;1219351
7.277395977;47.12620026;2587766;1219481
7.278201311;47.12573366;2587827;1219429
7.284450358;47.1249777;2588301;1219344
7.278904928;47.12402562;2587880;1219239
7.276185868;47.12110744;2587673;1218915
7.280143792;47.12400036;2587974;1219236
7.279272014;47.12466477;2587908;1219310
7.279318425;47.12676963;2587912;1219544
7.282716719;47.12294251;2588169;1219118
7.266602459;47.12613954;2586947;1219476
7.283032787;47.1230149;2588193;1219126
7.262356366;47.11891017;2586623;1218673
7.261116142;47.11937599;2586529;1218725
7.265540513;47.1244289;2586866;1219286
7.267670973;47.12172465;2587027;1218985
7.26513038;47.1208753;2586834;1218891
7.277036171;47.12316847;2587738;1219144
7.272763166;47.12419676;2587414;1219259
7.27094061;47.12543539;2587276;1219397
7.275605741;47.12120556;2587629;1218926
7.26556494;47.1250226;2586868;1219352
7.272896988;47.11931273;2587423;1218716
7.266814427;47.12579805;2586963;1219438
7.276667704;47.12732359;2587711;1219606
7.276132406;47.12566777;2587670;1219422
7.276067144;47.12546079;2587665;1219399
7.271004861;47.12595719;2587281;1219455
7.270835292;47.12539926;2587268;1219393
7.287060962;47.12455844;2588499;1219297
7.271786513;47.12465408;2587340;1219310
7.281260934;47.12502732;2588059;1219350
7.266035176;47.12631858;2586904;1219496
7.267366294;47.12631159;2587005;1219495
7.268663515;47.12041288;2587102;1218839
7.288325124;47.12491091;2588595;1219336
7.275240932;47.11984681;2587601;1218775
7.270760135;47.12415785;2587262;1219255
7.274948293;47.12501845;2587580;1219350
7.282697;47.12517321;2588168;1219366
7.270219244;47.12433695;2587221;1219275
7.280457081;47.12500822;2587998;1219348
7.266125913;47.12678645;2586911;1219548
7.277484506;47.12307916;2587772;1219134
7.277034513;47.12805269;2587739;1219687
7.270964587;47.126191;2587278;1219481
7.27481573;47.12527011;2587570;1219378
7.270192716;47.12439089;2587219;1219281
7.274619656;47.12474813;2587555;1219320
7.27015019;47.12533528;2587216;1219386
7.289892189;47.12534472;2588714;1219384
7.270397943;47.12617217;2587235;1219479
7.270001887;47.12638747;2587205;1219503
7.27190126;47.12588654;2587349;1219447
7.273041876;47.12356752;2587435;1219189
7.279463272;47.12240732;2587922;1219059
7.278569134;47.12174944;2587854;1218986
7.275997749;47.1222945;2587659;1219047
7.286021008;47.12415228;2588420;1219252
7.268844363;47.12568415;2587117;1219425
7.280384083;47.12296628;2587992;1219121
7.262657748;47.11942334;2586646;1218730
7.266858697;47.12433195;2586966;1219275
7.269939585;47.12525402;2587200;1219377
7.267264482;47.12518707;2586997;1219370
7.276591148;47.12216941;2587704;1219033
7.280559518;47.12601579;2588006;1219460
7.283672443;47.12510258;2588242;1219358
7.276939329;47.12467948;2587731;1219312
7.284897345;47.12535609;2588335;1219386
7.276151794;47.12363495;2587671;1219196
7.27751813;47.1250311;2587775;1219351
7.270638005;47.12109941;2587252;1218915
7.286416829;47.12399091;2588450;1219234
7.277586693;47.12414969;2587780;1219253
7.280687103;47.12299369;2588015;1219124
7.265726037;47.12411437;2586880;1219251
7.270820014;47.12606486;2587267;1219467
7.277091711;47.12657761;2587743;1219523
7.277646702;47.12173915;2587784;1218985
7.274610636;47.12339888;2587554;1219170
7.264391498;47.12518273;2586779;1219370
7.270417663;47.12410338;2587236;1219249
7.265262063;47.12495019;2586845;1219344
7.282944712;47.12609102;2588187;1219468
7.28083057;47.1234976;2588026;1219180
7.269163952;47.12465021;2587141;1219310
7.269800868;47.12328394;2587189;1219158
7.265554716;47.12411411;2586867;1219251
7.275264336;47.12509985;2587604;1219359
7.275811439;47.12288789;2587645;1219113
7.273937091;47.12386565;2587503;1219222
