postal_code,Gde-Nr.,PLZ,Gemeinde,global_rad_10y_mean:W
postal_CH4125,2703,4125,Riehen,192.13453536754503
postal_CH3532,615,3532,Mirchel,197.45547850208033
postal_CH2743,692,2743,Eschert,189.49667128987514
postal_CH3125,884,3125,Toffen,196.56144244105417
postal_CH2882,6808,2882,Clos du Doubs,185.31539528432722
postal_CH2554,390,2554,Meinisberg,194.32635228848818
postal_CH2515,726,2515,Plateau de Diesse,192.63994452149794
postal_CH3376,976,3376,Graben,193.90568654646324
postal_CH4538,983,4538,Oberbipp,194.11414701803065
postal_CH3429,408,3429,Hellsau,195.0862690707351
postal_CH4938,339,4938,Rohrbachgraben,194.83883495145645
postal_CH9107,3006,9107,Urnäsch,185.31539528432742
postal_CH6648,5118,6648,Minusio,191.3851595006936
postal_CH6632,5399,6632,Verzasca,174.4843273231624
postal_CH6600,5120,6600,Muralto,191.18141470180316
postal_CH8588,4511,8588,Zihlschlacht-Sitterdorf,193.72746185852952
postal_CH3257,303,3257,Grossaffoltern,195.49999999999991
postal_CH2518,724,2518,Nods,192.52205270457688
postal_CH2806,6716,2806,Mettembert,190.19126213592233
postal_CH3707,575,3707,Därligen,192.01816920943136
postal_CH2576,497,2576,Lüscherz,194.17295423023563
postal_CH2906,6809,2906,Haute-Ajoie,189.70319001386974
postal_CH2732,696,2732,Loveresse,187.5029126213592
postal_CH3073,356,3073,Muri bei Bern,198.8205270457697
postal_CH3510,609,3510,Häutligen,197.94951456310665
postal_CH2942,6771,2942,Alle,190.87753120665744
postal_CH2908,6792,2908,Grandfontaine,190.26171983356454
postal_CH3417,956,3417,Rüegsau,197.04854368932038
postal_CH3065,352,3065,Bolligen,198.3683772538142
postal_CH3116,872,3116,Kirchdorf (BE),194.14271844660186
postal_CH3782,842,3782,Lauenen,189.90097087378655
postal_CH2738,690,2738,Court,188.77850208044376
postal_CH3202,663,3202,Frauenkappelen,198.89597780859913
postal_CH2575,751,2575,Täuffelen,190.81276005547844
postal_CH2606,431,2606,Corgémont,188.07115117891834
postal_CH2843,6704,2843,Châtillon (JU),189.53203883495138
postal_CH2932,6781,2932,Coeuve,191.40540915395283
postal_CH7513,3790,7513,Silvaplana,195.24479889042988
postal_CH7206,3955,7206,Landquart,191.74757281553414
postal_CH2345,6744,2345,La Chaux-des-Breuleux,186.89875173370328
postal_CH2340,6754,2340,Le Noirmont,186.73786407766983
postal_CH4634,2502,4634,Wisen (SO),191.18404993065192
postal_CH1052,5587,1052,Le Mont-sur-Lausanne,200.89403606102636
postal_CH8752,1630,8752,Glarus Nord,188.18904299583923
postal_CH6484,1220,6484,Wassen,184.38904299583896
postal_CH6452,1217,6452,Sisikon,184.78224687933434
postal_CH6460,1201,6460,Altdorf (UR),193.80499306518735
postal_CH3372,977,3372,Heimenhausen,194.88862690707333
postal_CH3465,952,3465,Dürrenroth,195.56241331484043
postal_CH4539,975,4539,Farnern,193.03287101248267
postal_CH3376,972,3376,Berken,193.90568654646324
postal_CH4539,987,4539,Rumisberg,193.03287101248267
postal_CH4911,341,4911,Schwarzhäusern,194.2042995839111
postal_CH3374,993,3374,Wangenried,190.19486823855743
postal_CH1482,2011,1482,Cugy (FR),199.73883495145637
postal_CH3284,2258,3284,Fräschels,196.46712898751727
postal_CH1754,2174,1754,Avry,201.18432732316222
postal_CH1634,2149,1634,La Roche,197.04979195561722
postal_CH1792,2262,1792,Gurmels,201.08640776699028
postal_CH1636,2124,1636,Broc,198.25256588072122
postal_CH1649,2147,1649,Pont-la-Ville,201.32177531206665
postal_CH1616,2321,1616,Attalens,200.33772538141474
postal_CH3214,2278,3214,Ulmiz,200.03453536754492
